"Plot Title: 1191960"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 1191960, SEN S/N: 1191960)","Coupler Detached (LGR S/N: 1191960)","Coupler Attached (LGR S/N: 1191960)","Host Connected (LGR S/N: 1191960)","Stopped (LGR S/N: 1191960)","End Of File (LGR S/N: 1191960)"
1,12/17/14 12:00:00 PM,67.500,Logged,,,,
2,12/17/14 12:15:00 PM,71.274,,,,,
3,12/17/14 12:30:00 PM,71.533,,,,,
4,12/17/14 12:45:00 PM,72.351,,,,,
5,12/17/14 01:00:00 PM,66.643,,,,,
6,12/17/14 01:15:00 PM,63.648,,,,,
7,12/17/14 01:30:00 PM,62.148,,,,,
8,12/17/14 01:45:00 PM,60.561,,,,,
9,12/17/14 02:00:00 PM,63.219,,,,,
10,12/17/14 02:15:00 PM,62.533,,,,,
11,12/17/14 02:30:00 PM,61.977,,,,,
12,12/17/14 02:45:00 PM,60.818,,,,,
13,12/17/14 03:00:00 PM,59.702,,,,,
14,12/17/14 03:15:00 PM,60.690,,,,,
15,12/17/14 03:30:00 PM,60.690,,,,,
16,12/17/14 03:45:00 PM,59.445,,,,,
17,12/17/14 04:00:00 PM,60.046,,,,,
18,12/17/14 04:15:00 PM,59.873,,,,,
19,12/17/14 04:30:00 PM,54.648,,,,,
20,12/17/14 04:45:00 PM,53.121,,,,,
21,12/17/14 05:00:00 PM,52.246,,,,,
22,12/17/14 05:15:00 PM,52.554,,,,,
23,12/17/14 05:30:00 PM,52.554,,,,,
24,12/17/14 05:45:00 PM,51.984,,,,,
25,12/17/14 06:00:00 PM,50.311,,,,,
26,12/17/14 06:15:00 PM,48.315,,,,,
27,12/17/14 06:30:00 PM,47.154,,,,,
28,12/17/14 06:45:00 PM,46.616,,,,,
29,12/17/14 07:00:00 PM,46.256,,,,,
30,12/17/14 07:15:00 PM,45.986,,,,,
31,12/17/14 07:30:00 PM,45.714,,,,,
32,12/17/14 07:45:00 PM,45.489,,,,,
33,12/17/14 08:00:00 PM,46.526,,,,,
34,12/17/14 08:15:00 PM,46.211,,,,,
35,12/17/14 08:30:00 PM,44.856,,,,,
36,12/17/14 08:45:00 PM,45.579,,,,,
37,12/17/14 09:00:00 PM,45.399,,,,,
38,12/17/14 09:15:00 PM,44.263,,,,,
39,12/17/14 09:30:00 PM,45.489,,,,,
40,12/17/14 09:45:00 PM,46.076,,,,,
41,12/17/14 10:00:00 PM,46.481,,,,,
