percentage,current year,numberofPlots
0,1,27
5,1,2
10,1,2
15,1,1
20,1,1
25,1,1
30,1,1
35,1,0
40,1,0
45,1,0
50,1,0
55,1,0
60,1,0
65,1,0
70,1,0
75,1,0
80,1,0
85,1,0
90,1,0
95,1,0
100,1,0
0,2,60
5,2,20
10,2,19
15,2,16
20,2,16
25,2,14
30,2,13
35,2,13
40,2,13
45,2,13
50,2,12
55,2,7
60,2,7
65,2,6
70,2,4
75,2,4
80,2,4
85,2,4
90,2,4
95,2,4
100,2,4
0,3,24
5,3,15
10,3,15
15,3,15
20,3,15
25,3,15
30,3,15
35,3,13
40,3,13
45,3,12
50,3,12
55,3,8
60,3,8
65,3,8
70,3,8
75,3,8
80,3,7
85,3,7
90,3,7
95,3,7
100,3,6
0,4,10
5,4,10
10,4,6
15,4,5
20,4,4
25,4,4
30,4,4
35,4,4
40,4,3
45,4,3
50,4,3
55,4,2
60,4,2
65,4,2
70,4,2
75,4,2
80,4,2
85,4,2
90,4,2
95,4,2
100,4,2
