id,Slope,rep,Topo,Aspect,Scarification,cage,Caged,Eaten,previous,Herbivory,Severity,seeds,age,day.to.flower,day.to.seed,daysseeding,decrain,janrain,febrain,marchrain,aprilrain,mayrain,totalrain,decsolar,avgdecsolar,jansolar,avgjansolar,febsolar,avgfebsolar,marchsolar,avgmarchsolar,aprilsolar,avgaprilsolar,maysolar,avgmaysolar,totalsolar,germ,death,flowerday,seedday
1,swale,3,No.aspect Swale,no aspect,scarified,big,yes,yes,yes,2,severe,3,120,57,105,15,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/20/2018,3/18/2018,5/5/2018
2,swale,3,No.aspect Swale,no aspect,unscarified,big,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
3,swale,3,No.aspect Swale,no aspect,scarified,big,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
4,swale,3,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
5,swale,3,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,120,105,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,5/20/2018,5/5/2018,
6,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
7,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
8,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,43,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,3/4/2018,,
9,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,43,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,3/4/2018,,
10,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
11,swale,3,No.aspect Swale,no aspect,scarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
12,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,85,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,4/15/2018,,
13,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
14,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
15,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
16,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,no,yes,0,none,0,29,,,,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,2/18/2018,,
17,swale,3,No.aspect Swale,no aspect,unscarified,small,yes,yes,yes,1,mild,22,133,105,120,13,4.677,81.951,8.286,117.28,19.292,16.755,248.241,3536,114.1,3627,117,4280,152.9,4548,146.7,7304,243.5,7807,251.8,31102,1/20/2018,6/2/2018,5/5/2018,5/20/2018
