id,topo,cage,aspect,scar,year,maxveg,avgveg,maxherb,ph,ec,c/n,r1,r2,seeds,cause of death
1,gentle,big,s,us,2,96,53.444,1,,,,62.91561819,0.43877551,13,complete
2,gentle,big,s,us,2,73,26.6,3,,,,0.228256341,0.025,0,dessicated
3,gentle,big,s,us,2,96,53.44444444,1,,,,6.849793982,0.244897959,9,complete
4,gentle,none,s,s,2,75,35,3,,,,60.33156206,0.979591837,63,complete
5,gentle,small,s,us,2,86,43.44444444,1,,,,263.675907,1.030612245,0,complete
6,gentle,small,s,us,2,15,9.25,1,,,,0.188797635,0.076923077,108,dessicated
7,gentle,small,s,us,2,86,38.75,1,,,,3.147186221,0.06097561,0,gone
8,gentle,big,s,us,2,45,16.125,2,,,,2.409314225,0.097560976,2,complete
9,gentle,big,s,us,2,9,6.8,2,,,,-0.088357293,0.025,0,dessicated
10,gentle,big,s,us,2,8,6.25,0,,,,0.649463866,0.115384615,0,dessicated
11,gentle,big,s,s,2,8,6.25,4,,,,-0.002831965,-0.076923077,0,gone
12,gentle,small,s,us,2,96,42,3,,,,224.6521811,1.62244898,249,complete
13,gentle,big,s,us,1,3,1.333333333,0,,,,0.057268616,0.083333333,0,gone
14,gentle,small,s,us,1,3,1.666666667,0,,,,0.049087385,0.166666667,0,gone
15,gentle,big,s,s,1,34,15.75,1,,,,0.677783511,0.153846154,0,dessicated
16,gentle,small,s,s,1,45,19.375,3,,,,16.62457081,0.280487805,6,complete
17,gentle,small,s,s,1,15,8,0,,,,0.003775953,0.038461538,0,dessicated
18,gentle,small,s,s,1,5,3.25,0,,,,0.003303959,0,0,dessicated
19,gentle,small,s,s,1,5,3.25,0,,,,0.005663929,0.038461538,0,gone
20,gentle,small,s,us,1,5,3.25,0,,,,0.037759527,0.076923077,0,dessicated
21,swale,big,no,us,2,35,25.5,0,,,,0.234109068,0.115384615,0,dessicated
22,swale,small,no,us,2,37,18.9,3,,,,0.176551224,0.04,0,dessicated
23,swale,big,no,us,2,82,31.625,0,,,,7.070355405,0.341463415,0,gone
24,swale,big,no,us,2,82,30,5,,,,6.108177759,0.170731707,0,gone
25,swale,big,no,us,2,82,31.625,1,,,,0.290089685,0.085365854,0,dessicated
26,swale,big,no,s,2,82,32.57142857,3,,,,2.400950636,0.102941176,0,gone
27,swale,small,no,us,2,100,80.28571429,1,,,,6.692978349,0.117647059,0,buried
28,swale,small,no,us,2,99,78.4,0,,,,5.154175447,0.15,0,dessicated
29,swale,small,no,us,2,100,80.28571429,0,,,,15.80036305,0.117647059,0,buried
30,swale,small,no,us,2,100,80.28571429,1,,,,8.691354676,0.102941176,0,buried
31,swale,small,no,us,2,100,82,2,,,,1.090830782,0.018518519,0,buried
32,swale,small,no,us,2,100,80.28571429,0,,,,2.57853147,0.044117647,0,buried
33,swale,big,no,us,2,100,69.55555556,3,,,,283.9843062,1.280487805,59,complete
34,swale,small,no,s,2,83,54.88888889,5,,,,415.2311933,1.918367347,174,complete
35,swale,big,no,us,1,77,43.5,5,,,,1.167197451,0.134146341,0,gone
36,swale,small,no,us,1,80,42.22222222,1,,,,4.168681073,0.153061224,0,complete
37,swale,small,no,s,1,30,15.75,0,,,,0.060415243,0.076923077,0,dessicated
38,swale,small,no,s,1,30,15.75,0,,,,0.128382392,0.115384615,0,gone
39,swale,small,no,s,1,30,15.75,2,,,,0.022655716,0.076923077,0,gone
40,swale,small,no,s,1,77,32.14285714,0,,,,0.095431652,0.073529412,0,dessicated
41,swale,small,no,s,1,99,49,1,,,,50.30755736,0.469387755,28,complete
42,steep,big,s,s,1,1,1,0,,,,0,0,0,gone
43,steep,small,s,s,1,97,53.125,0,,,,3.256145849,0.158536585,0,gone
44,steep,big,s,s,1,42,21.4285714,0,,,,0.2136745,0.088235294,0,dessicated
45,steep,small,s,s,1,64,34.625,1,,,,4.190846288,0.219512195,5,complete
46,steep,small,s,s,1,40,22,0,,,,-0.022655716,0.038461538,0,dessicated
47,steep,small,s,s,1,64,34.625,0,,,,0.28249431,0.097560976,0,dessicated
48,steep,small,s,s,1,64,34.625,1,,,,0.853402151,0.097560976,0,dessicated
49,steep,small,s,s,1,64,36.7142857,3,,,,0.09817477,0.014705882,0,dessicated
50,steep,big,s,s,1,48,29.75,0,,,,0.913780555,0.153846154,0,dessicated
