Slope,rep,Topo,Aspect,cage,germination,seeds,current.year,start.year
gentle,1,Gentle South,south,none,1,0,1,1
gentle,1,Gentle South,south,big,4,0,1,1
gentle,1,Gentle South,south,small,0,0,1,1
gentle,2,Gentle South,south,none,1,0,1,1
gentle,2,Gentle South,south,big,1,0,1,1
gentle,2,Gentle South,south,small,0,0,1,1
gentle,3,Gentle South,south,none,0,0,1,1
gentle,3,Gentle South,south,big,0,0,1,1
gentle,3,Gentle South,south,small,1,0,1,1
swale,1,No.aspect Swale,no.aspect,none,1,0,1,1
swale,1,No.aspect Swale,no.aspect,big,7,0,1,1
swale,1,No.aspect Swale,no.aspect,small,3,0,1,1
swale,2,No.aspect Swale,no.aspect,none,3,0,1,1
swale,2,No.aspect Swale,no.aspect,big,1,0,1,1
swale,2,No.aspect Swale,no.aspect,small,6,8,1,1
swale,3,No.aspect Swale,no.aspect,none,2,0,1,1
swale,3,No.aspect Swale,no.aspect,big,11,0,1,1
swale,3,No.aspect Swale,no.aspect,small,5,0,1,1
steep,1,South Steep,south,none,4,0,1,1
steep,1,South Steep,south,big,7,3,1,1
steep,1,South Steep,south,small,9,0,1,1
steep,2,South Steep,south,none,12,0,1,1
steep,2,South Steep,south,big,2,0,1,1
steep,2,South Steep,south,small,5,0,1,1
steep,3,South Steep,south,none,6,0,1,1
steep,3,South Steep,south,big,2,0,1,1
steep,3,South Steep,south,small,6,0,1,1
ridge,1,No.aspect Ridge,no.aspect,none,0,0,1,1
ridge,1,No.aspect Ridge,no.aspect,big,0,0,1,1
ridge,1,No.aspect Ridge,no.aspect,small,0,0,1,1
ridge,2,No.aspect Ridge,no.aspect,none,1,0,1,1
ridge,2,No.aspect Ridge,no.aspect,big,0,0,1,1
ridge,2,No.aspect Ridge,no.aspect,small,11,0,1,1
ridge,3,No.aspect Ridge,no.aspect,none,5,0,1,1
ridge,3,No.aspect Ridge,no.aspect,big,0,0,1,1
ridge,3,No.aspect Ridge,no.aspect,small,1,0,1,1
gentle,4,South Gentle,south,none,9,0,2,2
gentle,4,South Gentle,south,big,13,0,2,2
gentle,4,South Gentle,south,small,10,0,2,2
gentle,5,South Gentle,south,none,5,0,2,2
gentle,5,South Gentle,south,big,8,0,2,2
gentle,5,South Gentle,south,small,4,11,2,2
gentle,6,South Gentle,south,none,5,36,2,2
gentle,6,South Gentle,south,big,5,0,2,2
gentle,6,South Gentle,south,small,7,0,2,2
swale,4,No.aspect Swale,no.aspect,none,1,0,2,2
swale,4,No.aspect Swale,no.aspect,big,7,0,2,2
swale,4,No.aspect Swale,no.aspect,small,13,0,2,2
swale,5,No.aspect Swale,no.aspect,none,1,0,2,2
swale,5,No.aspect Swale,no.aspect,big,8,0,2,2
swale,5,No.aspect Swale,no.aspect,small,10,59,2,2
