"Plot Title: 1176788"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 1176788, SEN S/N: 1176788)","Coupler Detached (LGR S/N: 1176788)","Coupler Attached (LGR S/N: 1176788)","Host Connected (LGR S/N: 1176788)","Stopped (LGR S/N: 1176788)","End Of File (LGR S/N: 1176788)"
1,12/17/14 12:00:00 PM,74.899,Logged,,,,
2,12/17/14 12:15:00 PM,72.567,,,,,
3,12/17/14 12:30:00 PM,73.429,,,,,
4,12/17/14 12:45:00 PM,76.332,,,,,
5,12/17/14 01:00:00 PM,76.550,,,,,
6,12/17/14 01:15:00 PM,74.467,,,,,
7,12/17/14 01:30:00 PM,73.861,,,,,
8,12/17/14 01:45:00 PM,72.050,,,,,
9,12/17/14 02:00:00 PM,62.620,,,,,
10,12/17/14 02:15:00 PM,61.848,,,,,
11,12/17/14 02:30:00 PM,61.419,,,,,
12,12/17/14 02:45:00 PM,60.948,,,,,
13,12/17/14 03:00:00 PM,59.959,,,,,
14,12/17/14 03:15:00 PM,59.659,,,,,
15,12/17/14 03:30:00 PM,59.959,,,,,
16,12/17/14 03:45:00 PM,59.272,,,,,
17,12/17/14 04:00:00 PM,59.572,,,,,
18,12/17/14 04:15:00 PM,59.745,,,,,
19,12/17/14 04:30:00 PM,57.893,,,,,
20,12/17/14 04:45:00 PM,56.383,,,,,
21,12/17/14 05:00:00 PM,55.299,,,,,
22,12/17/14 05:15:00 PM,54.995,,,,,
23,12/17/14 05:30:00 PM,54.691,,,,,
24,12/17/14 05:45:00 PM,54.343,,,,,
25,12/17/14 06:00:00 PM,53.559,,,,,
26,12/17/14 06:15:00 PM,52.203,,,,,
27,12/17/14 06:30:00 PM,51.193,,,,,
28,12/17/14 06:45:00 PM,50.576,,,,,
29,12/17/14 07:00:00 PM,49.959,,,,,
30,12/17/14 07:15:00 PM,49.561,,,,,
31,12/17/14 07:30:00 PM,49.383,,,,,
32,12/17/14 07:45:00 PM,48.983,,,,,
33,12/17/14 08:00:00 PM,49.161,,,,,
34,12/17/14 08:15:00 PM,49.116,,,,,
35,12/17/14 08:30:00 PM,48.360,,,,,
36,12/17/14 08:45:00 PM,48.272,,,,,
37,12/17/14 09:00:00 PM,48.227,,,,,
38,12/17/14 09:15:00 PM,47.647,,,,,
39,12/17/14 09:30:00 PM,47.959,,,,,
40,12/17/14 09:45:00 PM,48.272,,,,,
41,12/17/14 10:00:00 PM,48.450,,,,,
42,12/17/14 10:15:00 PM,48.717,,,,,
43,12/17/14 10:30:00 PM,48.850,,,,,
44,12/17/14 10:45:00 PM,48.895,,,,,
45,12/17/14 11:00:00 PM,48.938,,,,,
46,12/17/14 11:15:00 PM,49.073,,,,,
47,12/17/14 11:30:00 PM,49.161,,,,,
48,12/17/14 11:45:00 PM,49.294,,,,,
49,12/18/14 12:00:00 AM,49.383,,,,,
50,12/18/14 12:15:00 AM,49.471,,,,,
51,12/18/14 12:30:00 AM,49.561,,,,,
52,12/18/14 12:45:00 AM,49.604,,,,,
53,12/18/14 01:00:00 AM,49.692,,,,,
54,12/18/14 01:15:00 AM,49.782,,,,,
55,12/18/14 01:30:00 AM,49.870,,,,,
56,12/18/14 01:45:00 AM,49.914,,,,,
57,12/18/14 02:00:00 AM,49.914,,,,,
58,12/18/14 02:15:00 AM,49.914,,,,,
59,12/18/14 02:30:00 AM,49.959,,,,,
60,12/18/14 02:45:00 AM,50.002,,,,,
61,12/18/14 03:00:00 AM,50.047,,,,,
62,12/18/14 03:15:00 AM,50.135,,,,,
63,12/18/14 03:30:00 AM,50.135,,,,,
64,12/18/14 03:45:00 AM,50.135,,,,,
65,12/18/14 04:00:00 AM,50.135,,,,,
66,12/18/14 04:15:00 AM,50.092,,,,,
67,12/18/14 04:30:00 AM,50.047,,,,,
68,12/18/14 04:45:00 AM,50.047,,,,,
69,12/18/14 05:00:00 AM,50.047,,,,,
70,12/18/14 05:15:00 AM,50.047,,,,,
71,12/18/14 05:30:00 AM,50.047,,,,,
72,12/18/14 05:45:00 AM,49.428,,,,,
73,12/18/14 06:00:00 AM,49.383,,,,,
74,12/18/14 06:15:00 AM,49.649,,,,,
75,12/18/14 06:30:00 AM,49.825,,,,,
76,12/18/14 06:45:00 AM,50.002,,,,,
77,12/18/14 07:00:00 AM,50.135,,,,,
78,12/18/14 07:15:00 AM,50.311,,,,,
79,12/18/14 07:30:00 AM,50.576,,,,,
80,12/18/14 07:45:00 AM,50.929,,,,,
81,12/18/14 08:00:00 AM,51.458,,,,,
82,12/18/14 08:15:00 AM,52.509,,,,,
83,12/18/14 08:30:00 AM,53.298,,,,,
84,12/18/14 08:45:00 AM,56.165,,,,,
85,12/18/14 09:00:00 AM,57.807,,,,,
86,12/18/14 09:15:00 AM,58.798,,,,,
87,12/18/14 09:30:00 AM,59.529,,,,,
88,12/18/14 09:45:00 AM,60.561,,,,,
89,12/18/14 10:00:00 AM,65.788,,,,,
90,12/18/14 10:15:00 AM,64.931,,,,,
91,12/18/14 10:30:00 AM,63.775,,,,,
92,12/18/14 10:45:00 AM,63.946,,,,,
93,12/18/14 11:00:00 AM,64.288,,,,,
94,12/18/14 11:15:00 AM,64.418,,,,,
95,12/18/14 11:30:00 AM,64.674,,,,,
96,12/18/14 11:45:00 AM,65.574,,,,,
97,12/18/14 12:00:00 PM,66.686,,,,,
98,12/18/14 12:15:00 PM,72.912,,,,,
99,12/18/14 12:30:00 PM,73.342,,,,,
100,12/18/14 12:45:00 PM,69.814,,,,,
101,12/18/14 01:00:00 PM,67.928,,,,,
102,12/18/14 01:15:00 PM,66.943,,,,,
103,12/18/14 01:30:00 PM,67.071,,,,,
104,12/18/14 01:45:00 PM,68.099,,,,,
105,12/18/14 02:00:00 PM,68.698,,,,,
106,12/18/14 02:15:00 PM,68.956,,,,,
107,12/18/14 02:30:00 PM,67.285,,,,,
108,12/18/14 02:45:00 PM,66.385,,,,,
109,12/18/14 03:00:00 PM,66.000,,,,,
110,12/18/14 03:15:00 PM,64.888,,,,,
111,12/18/14 03:30:00 PM,67.285,,,,,
112,12/18/14 03:45:00 PM,67.329,,,,,
113,12/18/14 04:00:00 PM,66.814,,,,,
114,12/18/14 04:15:00 PM,65.788,,,,,
115,12/18/14 04:30:00 PM,63.433,,,,,
116,12/18/14 04:45:00 PM,61.119,,,,,
117,12/18/14 05:00:00 PM,59.272,,,,,
118,12/18/14 05:15:00 PM,57.807,,,,,
119,12/18/14 05:30:00 PM,56.426,,,,,
120,12/18/14 05:45:00 PM,55.299,,,,,
121,12/18/14 06:00:00 PM,54.255,,,,,
122,12/18/14 06:15:00 PM,53.427,,,,,
123,12/18/14 06:30:00 PM,52.641,,,,,
124,12/18/14 06:45:00 PM,51.940,,,,,
125,12/18/14 07:00:00 PM,51.370,,,,,
126,12/18/14 07:15:00 PM,50.752,,,,,
127,12/18/14 07:30:00 PM,50.223,,,,,
128,12/18/14 07:45:00 PM,49.649,,,,,
129,12/18/14 08:00:00 PM,49.204,,,,,
130,12/18/14 08:15:00 PM,48.717,,,,,
131,12/18/14 08:30:00 PM,48.360,,,,,
132,12/18/14 08:45:00 PM,48.272,,,,,
133,12/18/14 09:00:00 PM,48.049,,,,,
134,12/18/14 09:15:00 PM,47.691,,,,,
135,12/18/14 09:30:00 PM,47.377,,,,,
136,12/18/14 09:45:00 PM,46.886,,,,,
137,12/18/14 10:00:00 PM,46.616,,,,,
138,12/18/14 10:15:00 PM,46.256,,,,,
139,12/18/14 10:30:00 PM,46.211,,,,,
140,12/18/14 10:45:00 PM,47.377,,,,,
141,12/18/14 11:00:00 PM,48.137,,,,,
142,12/18/14 11:15:00 PM,48.717,,,,,
143,12/18/14 11:30:00 PM,49.204,,,,,
144,12/18/14 11:45:00 PM,49.692,,,,,
145,12/19/14 12:00:00 AM,50.047,,,,,
