"Plot Title: 1176797"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 1176797, SEN S/N: 1176797)","Coupler Detached (LGR S/N: 1176797)","Coupler Attached (LGR S/N: 1176797)","Host Connected (LGR S/N: 1176797)","Stopped (LGR S/N: 1176797)","End Of File (LGR S/N: 1176797)"
1,12/17/14 12:00:00 PM,72.136,Logged,,,,
2,12/17/14 12:15:00 PM,68.356,,,,,
3,12/17/14 12:30:00 PM,64.418,,,,,
4,12/17/14 12:45:00 PM,65.444,,,,,
5,12/17/14 01:00:00 PM,62.362,,,,,
6,12/17/14 01:15:00 PM,60.647,,,,,
7,12/17/14 01:30:00 PM,59.401,,,,,
8,12/17/14 01:45:00 PM,58.152,,,,,
9,12/17/14 02:00:00 PM,59.916,,,,,
10,12/17/14 02:15:00 PM,59.572,,,,,
11,12/17/14 02:30:00 PM,59.401,,,,,
12,12/17/14 02:45:00 PM,58.755,,,,,
13,12/17/14 03:00:00 PM,57.117,,,,,
14,12/17/14 03:15:00 PM,58.109,,,,,
15,12/17/14 03:30:00 PM,57.807,,,,,
16,12/17/14 03:45:00 PM,56.426,,,,,
17,12/17/14 04:00:00 PM,55.647,,,,,
18,12/17/14 04:15:00 PM,55.733,,,,,
19,12/17/14 04:30:00 PM,52.509,,,,,
20,12/17/14 04:45:00 PM,51.325,,,,,
21,12/17/14 05:00:00 PM,50.841,,,,,
22,12/17/14 05:15:00 PM,51.370,,,,,
23,12/17/14 05:30:00 PM,51.413,,,,,
24,12/17/14 05:45:00 PM,51.017,,,,,
25,12/17/14 06:00:00 PM,49.383,,,,,
26,12/17/14 06:15:00 PM,47.377,,,,,
27,12/17/14 06:30:00 PM,46.211,,,,,
28,12/17/14 06:45:00 PM,45.624,,,,,
29,12/17/14 07:00:00 PM,45.082,,,,,
30,12/17/14 07:15:00 PM,45.172,,,,,
31,12/17/14 07:30:00 PM,45.262,,,,,
32,12/17/14 07:45:00 PM,45.036,,,,,
33,12/17/14 08:00:00 PM,45.806,,,,,
34,12/17/14 08:15:00 PM,45.669,,,,,
35,12/17/14 08:30:00 PM,44.310,,,,,
36,12/17/14 08:45:00 PM,44.901,,,,,
37,12/17/14 09:00:00 PM,44.674,,,,,
38,12/17/14 09:15:00 PM,43.763,,,,,
39,12/17/14 09:30:00 PM,45.036,,,,,
40,12/17/14 09:45:00 PM,45.714,,,,,
41,12/17/14 10:00:00 PM,46.211,,,,,
42,12/17/14 10:15:00 PM,46.661,,,,,
43,12/17/14 10:30:00 PM,46.841,,,,,
44,12/17/14 10:45:00 PM,46.841,,,,,
45,12/17/14 11:00:00 PM,47.019,,,,,
46,12/17/14 11:15:00 PM,47.199,,,,,
47,12/17/14 11:30:00 PM,47.289,,,,,
48,12/17/14 11:45:00 PM,47.602,,,,,
49,12/18/14 12:00:00 AM,47.736,,,,,
50,12/18/14 12:15:00 AM,47.736,,,,,
51,12/18/14 12:30:00 AM,47.914,,,,,
52,12/18/14 12:45:00 AM,48.094,,,,,
53,12/18/14 01:00:00 AM,48.182,,,,,
54,12/18/14 01:15:00 AM,48.272,,,,,
55,12/18/14 01:30:00 AM,48.315,,,,,
56,12/18/14 01:45:00 AM,48.450,,,,,
57,12/18/14 02:00:00 AM,48.450,,,,,
58,12/18/14 02:15:00 AM,48.450,,,,,
59,12/18/14 02:30:00 AM,48.538,,,,,
60,12/18/14 02:45:00 AM,48.538,,,,,
61,12/18/14 03:00:00 AM,48.672,,,,,
62,12/18/14 03:15:00 AM,48.672,,,,,
63,12/18/14 03:30:00 AM,48.672,,,,,
64,12/18/14 03:45:00 AM,48.672,,,,,
65,12/18/14 04:00:00 AM,48.628,,,,,
66,12/18/14 04:15:00 AM,48.628,,,,,
67,12/18/14 04:30:00 AM,48.672,,,,,
68,12/18/14 04:45:00 AM,48.628,,,,,
69,12/18/14 05:00:00 AM,48.628,,,,,
70,12/18/14 05:15:00 AM,48.672,,,,,
71,12/18/14 05:30:00 AM,48.628,,,,,
72,12/18/14 05:45:00 AM,47.422,,,,,
73,12/18/14 06:00:00 AM,48.049,,,,,
74,12/18/14 06:15:00 AM,48.360,,,,,
75,12/18/14 06:30:00 AM,48.583,,,,,
76,12/18/14 06:45:00 AM,48.762,,,,,
77,12/18/14 07:00:00 AM,48.895,,,,,
78,12/18/14 07:15:00 AM,49.161,,,,,
79,12/18/14 07:30:00 AM,49.604,,,,,
80,12/18/14 07:45:00 AM,50.092,,,,,
81,12/18/14 08:00:00 AM,50.974,,,,,
82,12/18/14 08:15:00 AM,52.160,,,,,
83,12/18/14 08:30:00 AM,53.035,,,,,
84,12/18/14 08:45:00 AM,54.995,,,,,
85,12/18/14 09:00:00 AM,56.251,,,,,
86,12/18/14 09:15:00 AM,57.636,,,,,
87,12/18/14 09:30:00 AM,58.842,,,,,
88,12/18/14 09:45:00 AM,59.529,,,,,
89,12/18/14 10:00:00 AM,64.332,,,,,
90,12/18/14 10:15:00 AM,62.962,,,,,
91,12/18/14 10:30:00 AM,62.533,,,,,
92,12/18/14 10:45:00 AM,63.219,,,,,
93,12/18/14 11:00:00 AM,64.288,,,,,
94,12/18/14 11:15:00 AM,64.418,,,,,
95,12/18/14 11:30:00 AM,65.230,,,,,
96,12/18/14 11:45:00 AM,66.214,,,,,
97,12/18/14 12:00:00 PM,67.071,,,,,
98,12/18/14 12:15:00 PM,77.292,,,,,
99,12/18/14 12:30:00 PM,69.213,,,,,
100,12/18/14 12:45:00 PM,66.729,,,,,
101,12/18/14 01:00:00 PM,65.788,,,,,
102,12/18/14 01:15:00 PM,65.444,,,,,
103,12/18/14 01:30:00 PM,65.788,,,,,
104,12/18/14 01:45:00 PM,66.643,,,,,
105,12/18/14 02:00:00 PM,67.842,,,,,
106,12/18/14 02:15:00 PM,65.745,,,,,
107,12/18/14 02:30:00 PM,64.760,,,,,
108,12/18/14 02:45:00 PM,64.546,,,,,
109,12/18/14 03:00:00 PM,64.332,,,,,
110,12/18/14 03:15:00 PM,63.090,,,,,
111,12/18/14 03:30:00 PM,60.303,,,,,
112,12/18/14 03:45:00 PM,57.592,,,,,
113,12/18/14 04:00:00 PM,56.251,,,,,
114,12/18/14 04:15:00 PM,55.038,,,,,
115,12/18/14 04:30:00 PM,53.865,,,,,
116,12/18/14 04:45:00 PM,52.817,,,,,
117,12/18/14 05:00:00 PM,51.458,,,,,
118,12/18/14 05:15:00 PM,50.223,,,,,
119,12/18/14 05:30:00 PM,49.161,,,,,
120,12/18/14 05:45:00 PM,48.272,,,,,
121,12/18/14 06:00:00 PM,47.602,,,,,
122,12/18/14 06:15:00 PM,46.931,,,,,
123,12/18/14 06:30:00 PM,46.301,,,,,
124,12/18/14 06:45:00 PM,45.761,,,,,
125,12/18/14 07:00:00 PM,45.307,,,,,
126,12/18/14 07:15:00 PM,44.946,,,,,
127,12/18/14 07:30:00 PM,44.445,,,,,
128,12/18/14 07:45:00 PM,44.127,,,,,
129,12/18/14 08:00:00 PM,43.716,,,,,
130,12/18/14 08:15:00 PM,43.306,,,,,
131,12/18/14 08:30:00 PM,43.167,,,,,
132,12/18/14 08:45:00 PM,43.396,,,,,
133,12/18/14 09:00:00 PM,42.984,,,,,
134,12/18/14 09:15:00 PM,42.525,,,,,
135,12/18/14 09:30:00 PM,42.341,,,,,
136,12/18/14 09:45:00 PM,41.832,,,,,
137,12/18/14 10:00:00 PM,41.369,,,,,
138,12/18/14 10:15:00 PM,41.369,,,,,
139,12/18/14 10:30:00 PM,42.247,,,,,
140,12/18/14 10:45:00 PM,44.764,,,,,
