Station,Date,Time,Precip,type,Air max,min,obs,Wx,Wind dir,speed,Bulb wet,dry,Soil max,min,Evap,Solar,ETo,RH max,min
Nipomo.A,20060701,2359,0,,68,49,,,,,,,72,68,,713,0.21,98,66
Nipomo.A,20060702,2359,0,,67,51,,,,,,,71,68,,650,0.19,96,68
Nipomo.A,20060703,2359,0,,62,51,,,,,,,71,67,,581,0.16,97,79
Nipomo.A,20060704,2359,0,,62,51,,,,,,,70,67,,621,0.18,98,72
Nipomo.A,20060705,2359,0,,67,50,,,,,,,71,67,,640,0.19,97,64
Nipomo.A,20060706,2359,0,,67,50,,,,,,,71,67,,678,0.2,97,61
Nipomo.A,20060707,2359,0,,66,49,,,,,,,70,66,,700,0.19,97,69
Nipomo.A,20060708,2359,0,,70,48,,,,,,,70,66,,709,0.21,98,60
Nipomo.A,20060709,2359,0,,65,50,,,,,,,71,67,,678,0.19,98,70
Nipomo.A,20060710,2359,0,,66,50,,,,,,,71,67,,620,0.18,98,73
Nipomo.A,20060711,2359,0,,62,51,,,,,,,71,67,,614,0.17,98,75
Nipomo.A,20060712,2359,0,,68,52,,,,,,,71,67,,642,0.19,98,62
Nipomo.A,20060713,2359,0,,67,48,,,,,,,72,67,,714,0.21,98,67
Nipomo.A,20060714,2359,0,,62,51,,,,,,,71,68,,591,0.16,98,82
Nipomo.A,20060715,2359,0,,65,51,,,,,,,71,67,,634,0.18,98,75
Nipomo.A,20060716,2359,0,,71,51,,,,,,,72,67,,640,0.2,98,60
Nipomo.A,20060717,2359,0,,73,51,,,,,,,72,68,,532,0.16,98,64
Nipomo.A,20060718,2359,0,,74,56,,,,,,,71,69,,226,0.06,93,67
Nipomo.A,20060719,2359,0,,72,58,,,,,,,73,68,,652,0.21,97,69
Nipomo.A,20060720,2359,0,,69,56,,,,,,,73,69,,601,0.18,98,75
Nipomo.A,20060721,2359,0,,71,56,,,,,,,74,70,,641,0.2,98,69
Nipomo.A,20060722,2359,0,,73,58,,,,,,,74,70,,609,0.2,97,68
Nipomo.A,20060723,2359,0,,79,59,,,,,,,74,70,,462,0.15,94,61
Nipomo.A,20060724,2359,0,,74,58,,,,,,,74,70,,599,0.19,96,67
Nipomo.A,20060725,2359,0,,77,58,,,,,,,75,71,,600,0.2,97,62
Nipomo.A,20060726,2359,0,,71,58,,,,,,,75,72,,772,0.18,97,76
Nipomo.A,20060727,2359,0,,69,58,,,,,,,75,71,,554,0.17,98,80
Nipomo.A,20060728,2359,0,,72,60,,,,,,,75,72,,527,0.17,97,76
Nipomo.A,20060729,2359,0,,71,60,,,,,,,75,72,,459,0.14,97,79
Nipomo.A,20060730,2359,0,,70,60,,,,,,,75,72,,396,0.12,97,75
Nipomo.A,20060731,2359,0,,69,54,,,,,,,74,71,,462,0.14,96,69
Nipomo.A,20060801,2359,0,,66,52,,,,,,,73,70,,633,0.19,94,68
Nipomo.A,20060802,2359,0,,67,51,,,,,,,73,69,,594,0.18,95,72
Nipomo.A,20060803,2359,0,,67,56,,,,,,,72,69,,375,0.11,95,73
Nipomo.A,20060804,2359,0,,67,57,,,,,,,71,69,,175,0.04,97,74
Nipomo.A,20060805,2359,0,,71,57,,,,,,,73,69,,602,0.2,95,63
Nipomo.A,20060806,2359,0,,69,54,,,,,,,72,68,,507,0.16,96,62
Nipomo.A,20060807,2359,0,,71,53,,,,,,,72,68,,660,0.21,94,54
Nipomo.A,20060808,2359,0,,69,52,,,,,,,72,68,,661,0.2,96,67
Nipomo.A,20060809,2359,0,,75,55,,,,,,,74,69,,668,0.21,97,60
Nipomo.A,20060810,2359,0,,70,57,,,,,,,74,70,,581,0.17,97,72
Nipomo.A,20060811,2359,0,,66,55,,,,,,,72,70,,481,0.14,97,77
Nipomo.A,20060812,2359,0,,66,52,,,W,4,,,72,69,,430,0.12,95,68
Nipomo.A,20060813,2359,0,,67,51,,,W,4,,,72,68,,484,0.14,,
Nipomo.A,20060814,2359,0.07,,68,54,,,W,4,,,72,69,,523,0.16,90,63
Nipomo.A,20060815,2359,0,,68,50,,,NE,5,,,71,69,,569,0.1,,
Nipomo.A,20060816,2359,0.08,,66,53,,,W,4,,,71,68,,383,0.1,93.9,73.3
Nipomo.A,20060817,2359,0.01,,67,52,,,W,4,,,72,68,,471,0.13,93.8,71.8
Nipomo.A,20060818,2359,0.09,,65,52,,,W,4,,,71,68,,502,0.14,96.6,73.7
Nipomo.A,20060819,2359,0.04,,65,54,,,W,5,,,71,68,,507,0.15,96,73.7
Nipomo.A,20060820,2359,0,,66,55,,,W,4,,,71,68,,452,0.13,91.4,71.4
Nipomo.A,20060821,2359,0,,69,56,,,W,5,,,71,70,,565,0.15,93.6,70.1
Nipomo.A,20060822,2359,0,,66,52,,,W,4,,,71,68,,532,0.15,96.7,73.6
Nipomo.A,20060823,2359,0,,65,54,,,W,4,,,71,68,,517,0.14,97.4,76.1
Nipomo.A,20060824,2359,0,,63,52,,,W,4,,,71,68,,533,0.14,97.6,76.4
Nipomo.A,20060825,2359,0,,64,53,,,W,4,,,71,68,,494,0.14,96.7,72.5
Nipomo.A,20060826,2359,0,,67,55,,,W,4,,,71,68,,528,0.15,94.7,68.5
Nipomo.A,20060827,2359,0,,66,53,,,W,4,,,71,68,,586,0.17,96.4,73.4
Nipomo.A,20060828,2359,0,,65,54,,,W,4,,,71,68,,520,0.15,96.9,75.4
Nipomo.A,20060829,2359,0,,67,53,,,W,4,,,71,68,,494,0.14,97,69.2
Nipomo.A,20060830,2359,0,,63,52,,,W,4,,,71,68,,514,0.14,97.4,78.2
Nipomo.A,20060831,2359,0,,63,52,,,W,4,,,70,67,,487,0.13,97.5,77.3
Nipomo.A,20060901,2359,0,,63,51,,,W,4,,,71,67,,502,0.14,97.5,75.2
Nipomo.A,20060902,2359,0,,67,52,,,W,4,,,70,67,,517,0.15,97,66.8
Nipomo.A,20060903,2359,0,,66,50,,,W,4,,,70,67,,517,0.15,95.9,69.3
Nipomo.A,20060904,2359,0,,65,50,,,W,4,,,70,66,,497,0.14,95.8,70.4
Nipomo.A,20060905,2359,0,,62,52,,,W,4,,,69,66,,454,0.12,97.4,77.9
Nipomo.A,20060906,2359,0,,64,51,,,W,4,,,69,67,,440,0.12,97.6,79
Nipomo.A,20060907,2359,0,,62,51,,,W,4,,,69,66,,437,0.12,97.7,76.7
Nipomo.A,20060908,2359,0,,62,54,,,W,3,,,68,67,,151,0.03,95.5,79.3
Nipomo.A,20060909,2359,0,,67,54,,,W,4,,,69,66,,456,0.14,92.9,62.3
Nipomo.A,20060910,2359,0,,61,53,,,W,4,,,68,66,,241,0.06,95.7,81.8
Nipomo.A,20060911,2359,0,,66,52,,,W,3,,,69,65,,502,0.14,97.1,72.6
Nipomo.A,20060912,2359,0,,64,49,,,W,4,,,68,65,,406,0.11,96.8,80.9
Nipomo.A,20060913,2359,0,,62,53,,,W,4,,,68,66,,267,0.06,97.4,84.2
Nipomo.A,20060914,2359,0,,62,55,,,W,3,,,67,66,,114,0.02,96.5,81.2
Nipomo.A,20060915,2359,0,,66,51,,,NW,4,,,68,65,,491,0.15,91.7,61.9
Nipomo.A,20060916,2359,0,,82,48,,,NE,4,,,69,64,,501,0.18,84.1,23.2
Nipomo.A,20060917,2359,0,,83,55,,,E,6,,,69,65,,461,0.2,71.7,24.8
Nipomo.A,20060918,2359,0,,74,53,,,W,3,,,68,65,,360,0.13,96.9,43.8
Nipomo.A,20060919,2359,0,,63,54,,,W,5,,,68,66,,373,0.12,97.6,74.3
Nipomo.A,20060920,2359,0,,68,53,,,SW,4,,,69,65,,463,0.13,94.6,64.5
Nipomo.A,20060921,2359,0,,71,54,,,W,5,,,68,65,,434,0.14,93.8,47
Nipomo.A,20060922,2359,0,,68,56,,,W,4,,,69,66,,436,0.13,91.3,69.1
Nipomo.A,20060923,2359,0,,75,53,,,NE,4,,,69,65,,425,0.14,93.7,54.8
Nipomo.A,20060924,2359,0,,71,52,,,E,5,,,69,65,,438,0.14,93.5,58.8
